84-1011 	 tagállami@hatáskör
125761-0426, 1006 	 elutasításra@irányuló@javaslat
125813-0426, 1006 	 első@olvasat
125824-1006, 1011 	 kezdeményezési@jog
125833-0436, 1016, 64 	 zászlóshajó-projekt
125870-0426, 1006 	 ülésszak
125872-0426, 1006 	 második@olvasat
125874-0426, 1006 	 az@ülések@helye
125875-0426, 1006 	 nem@jogalkotási@állásfoglalási@indítvány
125878-0426, 1006 	 második@olvasatra@vonatkozó@ajánlás
125888-0426, 1006 	 szavazások@órája
125894-0426, 1006 	 módosítás@és@vita@nélküli@eljárás
125895-0426, 1006 	 közös@állásfoglalásra@irányuló@indítvány
125902-0426, 1006 	 alelnök
125903-0426, 1006 	 megegyezéses@módosítás
125904-0426, 1006 	 póttag
125907-0416, 1006 	 közfelkiáltással@megválaszt
125914-0426, 1006 	 plenáris@ülés
125918-0426, 1006 	 egyetlen@szavazás
125919-0426, 1006 	 mandátumvizsgálat
125923-0426, 1006 	 hivatali@idő
125925-0426, 1006 	 megüresedés
125934-0426, 1006 	 magatartási@kódex
125935-0426, 1006 	 parlamenti@ciklus
125954-6006 	 közepes@szemű@rizs
125965-24 	 üzleti@együttműködés
125991-10, 5211, 6011 	 csiga
126070-2006, 2021 	 önkéntes@exportkorlátozás
126196-0806, 56 	 Gabonakereskedelmi@Egyezmény
126384-3606, 68, 6811 	 vegyipari@termék
126434-0436, 2011, 2446 	 vámhatóság
126504-0436, 1016 	 az@OHIM@fellebbezési@tanácsa
126510-0426, 1006, 1021 	 pénzügyi@vonatkozás
126540-0421, 1006 	 Európai@Parlament
126541-0426, 1006 	 európai@parlamenti@képviselő
126549-0426, 1006 	 quaestor
126551-0426, 1006 	 állandó@bizottság
126629-1236, 28 	 vallásszabadság
126632-3226, 3236 	 felhasználó@általi@programozhatóság
126730-1236, 4406 	 közvetett@megkülönböztetés
126737-1236, 28, 44 	 pozitív@intézkedés
126778-4821 	 elhajózási@kikötő
126783-4821 	 úszólétesítmény
126816-3606, 5216, 6616, 6811, 6821 	 kopogásgátló@készítmény
126863-3606, 4816, 6821 	 lencse
126909-1231, 1236 	 nemzetközi@humanitárius@jog
127100-2026, 60 	 fogyaszthatósági@idő
127109-24 	 határidős@devizaügylet
127116-0436, 12, 28 	 szokásos@tartózkodási@hely
127179-4816, 6821 	 hidegindítás
127208-0816, 1231, 1236 	 menekültstátusz
127234-1216, 24 	 gazdasági@bűnözés
127240-12, 1211, 24 	 végrehajthatóság
127353-4816, 6411 	 alrendszerre@vonatkozó@EK-hitelesítési@nyilatkozat
127449-5626, 6811 	 metosulam
127507-16, 24 	 adósságállomány
127516-12, 24, 2446 	 betéti@intézmény
127528-24 	 előrefizetett@funkcióval@rendelkező@kártya
127546-28 	 hátrányos@helyzetű@(@személy@)
127554-3226 	 feltételes@hozzáférés
127657-0436, 1006 	 hivatali@visszásság
127658-2406, 2411 	 hazai@pénznem
127688-1236, 52 	 emberi@jogok
127694-0436 	 átmeneti@intézkedés
127710-6811 	 stabilizátor
127737-2826, 2841 	 Anonim@Alkoholisták
127751-1021, 1616 	 monitoringbizottság
127778-2841, 60, 6811 	 metil-cellulóz
127807-1016, 6611, 6816 	 az@Európai@Szén-@és@Acélközösség@Tanácsadó@Bizottsága
127930-3226 	 radom
127967-1216 	 kábítószer
128005-12, 1216, 1236 	 halálbüntetés
128022-04, 0416, 12 	 arányos@választási@rendszer
128199-6411, 66 	 megaelektronvolt
128244-1236 	 nemzetközi@konferencia@az@indokínai@menekültekről
128254-0806, 1016, 52 	 A@nagy@távolságra@jutó@,@országhatárokon@átterjedő@levegőszennyezésről@szóló@1979.@évi@egyezményhez@csatolt@jegyzőkönyv@a@nitrogén-oxidok@kibocsátásának@és@országhatárokon@átterjedő@áramlásának@ellenőrzéséről
128271-0436, 0816, 1236, 7611 	 nemzeti@kisebbségi@főbiztos
128284-1236 	 Article@19@,@International@Centre@Against@Censorship
128316-1236, 4016 	 Anti-Slavery@International
128384-28, 2841, 76 	 Siketek@Világszövetsége
128463-6621, 6826 	 nagyfeszültségű@egyenáram
128508-1236, 28 	 nemzeti@kisebbség
128668-48 	 légiforgalmi@szolgálatok
128731-2406, 2411, 2416 	 készpénz-helyettesítő@fizetési@eszköz
128738-0436, 24 	 pályázati@felhívás
128852-0816, 76 	 Stockholmi@Nemzetközi@Békekutató@Intézet
128854-1236 	 Közép-amerikai@Menekültügyi@Nemzetközi@Konferencia
128861-1236, 2841, 4016 	 Orvosok@Határok@Nélkül
128870-1236 	 ILHR
128982-4811, 4821, 68 	 távirányítású@víz@alatti@jármű
129027-24 	 finanszírozási@képesség
129034-0436, 10, 1231 	 tartózkodási@kártya
129120-0436 	 helyszíni@ellenőrzés
129176-24 	 hiteltúllépés
129199-1016, 12, 3606 	 ONP-keretirányelv
129212-04, 0436 	 háttér-vitaanyag
129370-52, 5216 	 hulladékégető@mű
129451-3606, 56 	 dísznövény-szaporítóanyag
129535-2006, 2021, 24, 56 	 veszteségkifizetés
129645-2011 	 feldolgozott@termék
129710-5631 	 növényegészségügyi@szabályozás
129768-2026 	 általános@termékbiztonság
129782-48 	 kizárólag@árufuvarozásra@szolgáló@járat
129809-10, 1021, 1616 	 globális@támogatás
130043-2826, 2841, 6006, 6031 	 füst@nélküli@dohánytermék
130103-3606, 5636 	 fenyőrontó@fonálféreg
130113-68 	 papírrost
130121-3236, 3611 	 természetesnyelv-feldolgozás
130164-52, 6411 	 környezeti@címkézés
130200-1236, 2841 	 az@orvosokról@,@az@etikáról@és@a@kínzásról@szóló@madridi@nyilatkozat
130232-36, 6416 	 tapasztalt@kutató
130264-4816, 6821 	 kipufogórendszer
130293-48, 4816, 6411 	 fokozatmentes@sebességváltó
130381-1236 	 államilag@támogatott@erőszak
130442-12, 2446 	 nem@adóalany@jogi@személy
130533-52, 66 	 fotovoltaikus@napenergia
130540-2021 	 leszállítva@,@rakparton
130559-12, 24 	 jólteljesítési@biztosíték
130648-1016, 24 	 társfinanszírozási@arány
130699-2021, 48 	 fuvarozás@fizetve@...-ig
130774-3236 	 processzor
130934-3236 	 elektromosan@törölhető@,@programozható@,@csak@olvasható@memória
131054-4416, 48, 4811, 6411 	 borulás@hatása@elleni@védőszerkezet
131055-4816, 6411 	 összenyomódás-biztos@tér
131068-2021, 2031 	 fő@végtermék
131069-2021, 2031 	 melléktermék
131102-2841 	 véletlen@,@járulékos@(@mikrobiális@)@szennyezés
131115-5216, 6821 	 szilárd@szennyező@anyag
131116-48, 52 	 kipufogógáz-kibocsátás
131122-3606, 52, 68 	 nem@diszperzív@infravörös@gázelemző@készülék
131128-4816, 6411 	 városon@kívüli@ciklus
131136-66 	 végső@energiakereslet
131180-2021, 24, 40 	 értékesítési@,@általános@és@igazgatási@költségek
131209-4816, 6411 	 kritikus@áramlású@Venturi-cső
131298-5206, 6816 	 utánégető@kamra
131320-5631 	 túlélési@képesség
131372-4816, 6411 	 típusjóváhagyó@hatóság
131426-0811, 1016, 1236, 28, 2811, 7606 	 visszatérésre@kötelezett@személy
131427-0436, 10, 12, 1236 	 lakóhelyét@elhagyni@kényszerült@személy
131446-2021, 48 	 fuvarozás@és@biztosítás@fizetve@...-ig
131454-2021 	 leszállítva@,@hajón
131480-5211 	 súlyosan@veszélyeztetett@faj
131506-1236, 52 	 ökológiai@menekült
131646-4806, 6411, 6821 	 ütőmű
131708-24 	 elszámolható@kiadás
131730-1006 	 átmeneti@ellátás
131798-2841, 44 	 Nemzeti@Kapcsolattartó@Pont
131846-2826 	 szociális@dömping
131968-2841 	 ebolavírus
132266-1236 	 a@gyarmatosítás@megszüntetésének@nemzetközi@évtizede
132300-5641 	 kontinentális@gazdaság
132350-0811, 24 	 a@partnerek@által@nyújtott@források
132399-52 	 bioakkumulációs@képesség
132400-2011 	 átléptető@vámhivatal
132402-52, 5206 	 visszanyerés
132421-5216 	 felszíni@feltöltés
132437-0436, 12 	 bizalomvédelem@elve
132461-1021, 4026, 5606 	 korrekciós@intézkedés
132502-12, 2831, 6416 	 haszonkölcsönzési@jog
132527-5641 	 simalepényhal-körzet
132563-2841 	 invazív@eszköz
132565-1011, 52 	 élőhelyvédelmi@irányelv
132634-5631 	 epizootiás@haemorrhagiás@betegség@vírusával@való@fertőzöttség
132638-5631 	 szérumneutralizációs@próba
132673-1236, 7606 	 független@szakértő
132674-1236 	 törvénytelen@kivégzés
132675-1236 	 eltűnt@személy
132690-52 	 alprioritás
132746-3236, 6411, 6416 	 tudásalapú@rendszer
132940-12, 1236 	 menedékjog
132995-2011 	 származó@státus
133064-24, 2416 	 takarékpénztár
133134-6621 	 személyi@dozimetriai@ellenőrzés
133169-6616 	 reformáló
133243-2841 	 palliatív@ellátás
133259-56 	 kertész
133279-1211, 1236, 3226 	 válaszadás@joga
133281-3226, 6416 	 műholdas@műsorsugárzás
133291-2841, 6811 	 2,3,7,8-tetraklór-dibenzo-para-dioxin
133541-20, 48 	 TR@átadási@jegyzék
133681-1016 	 partnerség@elve
133684-24, 56 	 egységnyi@termelési@támogatás
133685-5211 	 (@vízi@)@guvat
133700-0436 	 szövetségi@külügyminiszter@és@szövetségi@kancellárhelyettes
133764-5211, 56, 6411 	 Nemzetközi@Vetőmagvizsgálati@Szövetség
133951-48, 4826 	 légialkalmassági@bizonyítvány
134100-12, 6416 	 licenciaszerződés
134118-3231 	 titoktartási@kötelezettség
134286-5631 	 tanúsított@szaporítóanyag
134535-5206, 6606 	 hatásfok
134602-4826 	 sürgős@jelzéssel@feladott@poggyász
134604-5641 	 hűtött@tengervíz
134959-3226 	 nyilvános@telefonállomás
134995-1021, 4006 	 áttelepítés
135021-1606, 4031 	 ad@hoc@támogatás
135160-2026, 68 	 nem@újrahasználható@csomagolás
135207-12 	 bíróság@előtti@meg@nem@jelenés
135235-2446 	 a@befektetési@aranyra@vonatkozó@különös@szabályozás
135236-24, 2446 	 befektetési@arany
135431-4816, 5216, 6821 	 könnyűgépjármű
135539-1236 	 Európai@Polgári@Charta
135613-12 	 visszterhes@szerződés
135677-56 	 nyersalkohol
135712-4816, 6411 	 reprezentatív@jármű
135717-4816, 52, 6821 	 részecskeszűrő
135723-4816, 6821 	 hajtott@tengely
135724-3606, 4816, 6821 	 kormányzott@tengely
135829-5641 	 tengeri@algák/moszatok
135942-2446 	 adóköteles@nyereség
136016-24 	 piaci@rés
136024-5216 	 indikátormikroorganizmus
136079-2416 	 banki@jellegű@kiegészítő@szolgáltatás
136250-6811 	 flavonoid
136298-24 	 sürgősségisegély-tartalék
136322-12, 2011 	 átmeneti@vám
136447-48, 52, 68 	 hulladékkezelő@létesítmény
136454-68 	 tűzött@szövet
136460-6811 	 üvegszál
136676-0436, 20, 4031 	 okozati@összefüggés
136701-16, 2011, 24 	 plafonár
136722-1011 	 melléklet
136758-12, 2011, 2021, 2446 	 preferenciális@vám
136789-0436, 48 	 típusbizonyítvány
136852-6811 	 hidro@-@bróm@-@fluor@-@szénhidrogén
136966-56 	 burgonya@levélsodró@vírusa
137014-0431, 2811 	 határ@menti@lakos
137030-2421 	 piaci@kockázat
137031-24 	 kiegyenlítési/teljesítési@kockázat
137085-48, 68 	 légszivattyú
137113-12, 2826 	 narkotikum
137120-2446 	 közvetett@adózás
137126-2006, 2011, 4026 	 importvám
137259-2836 	 természetbeni@betegségi@ellátás
137469-24, 4026 	 mérlegen@kívüli@kötelezettségvállalás
137520-2841 	 súlyos@mellékhatás
137521-2841 	 nem@várt@mellékhatás
137531-1631, 24, 28 	 szegénységi@mutató
137747-12 	 végrehajtó@állam
137757-12, 1206 	 szokásjog
137765-2446 	 rögzített@vám
137787-1631 	 gazdasági@mutató
137838-5206 	 szelektív@nem@katalitikus@redukció
138214-6811 	 glükózamin-hidroklorid
138306-2841, 6621 	 lekötött@effektív@dózis
138307-2841, 6621 	 lekötött@egyenértékdózis
138311-2841, 6621 	 veszélyhelyzeti@sugárterhelés
138493-24 	 hitelnyújtási@tevékenység
138494-10, 24 	 hitelfelvételi@tevékenység
138505-1011, 52, 5206 	 környezetminőségi@szabvány
138541-0416, 12 	 választhatóság@joga
138545-04, 0416, 12 	 választói@névjegyzék
138573-48, 68 	 fényszórószint-állító@berendezés
138575-68 	 szélvédő-párátlanító
138577-68 	 a@szélvédő@jégmentesítése
138607-24 	 könyvvezetés
138774-2446 	 levonási@jog
138775-2011 	 egyedi@kezesség
138781-5641 	 nyílt@tengeri@vonóhálós@hajó
138829-28 	 bentlakásos@intézmény
138865-66 	 szilárd@tüzelőanyag
138880-1016, 24 	 európai@gazdasági@egyesülés
138942-5631 	 kivágási@támogatás
138961-2841 	 sclerosis@multiplex
138963-0436, 12 	 eskü@alatt@tett@nyilatkozat
138971-12 	 hatósági@erkölcsi@bizonyítvány
139040-08, 2426 	 kétoldalú@beruházási@megállapodás
139075-1631 	 geonómenklatúra
139123-6811 	 bróm-krezol@zöld
139134-2841 	 árva@betegség
139169-2841 	 beültethető@eszköz
139276-5206 	 hulladékfrakció
139287-6811 	 nedves@elektrosztatikus@porleválasztó
139358-3226, 3236, 6411 	 megfelelőségi@vizsgálat
139386-2431 	 szerződő
139405-2841, 44 	 foglalkozási@betegségek@európai@jegyzéke
139417-4031 	 piacfelosztás
139428-1236, 28 	 humanitárius@szervezet
139462-2836 	 házi@gondozó
139591-2841, 52 	 beltéri@radonterhelés
139657-48, 5641 	 felszíni@horogsoros@halászhajó
139658-5631 	 szántóföldi@növény
139778-3606, 5631 	 juhhimlő@és@kecskehimlő
139814-2836 	 az@ellátások@exportálhatóságának@elve
139874-24 	 pénzügyi@mozgás
139891-24 	 maradványösszegek@átcsoportosítása
139919-0806, 12, 24 	 árukapcsolásra@vonatkozó@megállapodás
139924-12, 24, 6416 	 kizárólagos@jog
139947-6841 	 mesterséges@bőr
140017-24 	 korrekciós@együttható
140122-0426, 1006, 1016 	 parlamenti@együttműködési@bizottság
140126-16, 24 	 átalakulóban@lévő@ország
140139-0436, 1016, 16, 2006, 2021 	 érzékeny@termék
140222-0811 	 Dél-Dél@együttműködés
140245-4416, 4811 	 műhelykártya
140276-2446 	 egyezmények@eltéréseinek@kihasználása
140288-24 	 bizalmi@index
140290-2406, 2411 	 szlovén@tolár
140356-6026 	 előzselatinizálás
140362-5631, 6021, 6031 	 szárított@sörtörköly
140501-6411, 6821 	 látható@oldal
140525-5206 	 hasznosítási@művelet
140601-1021 	 tartalékfeltöltési@ráta
140610-1236 	 áldozatok@rehabilitálása
140681-0426, 1006 	 képviselőcsoport
140788-24, 44 	 váltott@műszakban@történő@munkavégzésért@fizetett@juttatás
140807-12 	 eljárásindítás
140833-12, 7231 	 EFTA-Bíróság
140858-20, 4031 	 támogatott@import
140876-2841 	 fejlődési@toxicitás
140908-1216, 24 	 hamis@pénz
140938-12, 2826, 3611 	 fiatalkori@bűnözés
140943-0821, 1236, 28 	 a@katonai@szolgálat@lelkiismereti@okból@történő@megtagadása
141325-48 	 raktérbérlés
141337-20 	 szolgáltatások@piaca
141371-2431, 28, 3611, 44 	 törvényes@nyugdíjkorhatár
141402-52 	 zöldhulladék
141419-0436 	 álláshirdetés
141420-16, 20, 68 	 ipari@termék
141757-12 	 jogi@tanácsadás
141993-6036 	 magnézium-triszilikát
142004-1011 	 függelék
142015-1236 	 népirtás
142025-4806 	 fékezés
142099-0436 	 a@Királyi@Államtanács@elnöke
142126-0436 	 közszolgálati@miniszter
142127-0436 	 külügyi@és@nemzetközösségi@miniszter
142137-0436 	 tárca@nélküli@miniszter
142143-0436 	 a@kincstár@pénzügyi@államtitkára
142145-0436 	 gazdasági@államtitkár
142492-0436 	 külügyminiszter
142506-12 	 polgári@jog
142521-5206, 5611 	 helyes@mezőgazdasági@gyakorlatról@szóló@szabályzat
142625-3606, 5211 	 vörös@fogoly
142682-3606, 5211 	 spanyol@búbospacsirta
142684-52, 5211 	 rétisas
142884-3606, 6816 	 szuperképlékeny@alakítás
142977-2841 	 mikrocisztin
142978-3606, 5631 	 kecskehimlő@vírusa
142991-68 	 billenő@orsó
143016-0821, 3606, 6821 	 közvetlen@hidraulikus@sajtolás
143024-3236, 6826 	 film@típusú@integrált@áramkör
143025-3236, 6826 	 multichip@integrált@áramkör
143027-3236, 6411, 6826 	 optikai@integrált@áramkör
143028-3236, 6826 	 jelfeldolgozás
143029-0821, 3236 	 alapkapu@késleltetési@idő
143067-3236 	 szisztolés@tömb@számítógép
143068-3236 	 neurális@számítógép
143069-3236 	 optikai@számítógép
143126-3606, 6411 	 gyújtóponti@sík@tömb
143149-3606, 6826 	 szuper@nagyteljesítményű@lézer
143151-3606 	 mágneses@gradiométer
143152-3606 	 belső@mágneses@gradiométer
143160-6626, 6811 	 kadmium-tellurid
143240-6406 	 gyártó@berendezés
143241-48, 68 	 termelőüzem
143266-24 	 valutaátszámítás
143271-0436, 1016 	 tájékoztatási@kérelem
143281-5211, 5641 	 vízi@gerinctelenek
143297-0436, 2446 	 vámigazgatási@szerv
143299-2011, 2021 	 preferenciális@rendelkezés
143307-24 	 kizárási@kritérium
143365-12, 2416 	 prudenciális@szabályozás
143392-3236, 6411, 6826 	 monolit@integrált@áramkör
143462-60, 6811 	 hidrolizált@fehérje
143523-24 	 fő@tevékenység
143545-0436, 48 	 Útgazdálkodási@Koordinációs@Igazgatóság
143759-1206 	 túlszabályozás
143780-2841 	 cerebrovascularis@betegség
143836-52, 6616, 68 	 part@menti@létesítmény
144012-2841 	 immunotoxicitás
144036-2841 	 inaktiválás
144037-1011 	 bekezdés
144079-1236 	 polgári@jogok
144084-1236 	 véleménynyilvánítás@szabadsága
144091-1236, 28 	 faji@megkülönböztetés
144094-1236, 28 	 a@nők@jogai
144141-0436, 1016, 44 	 Vezető@Munkaügyi@Felügyeleti@Tisztviselők@Bizottsága
144154-3606, 56 	 agyagtalaj
144254-6811 	 lineáris@alkil@-@benzol@-@szulfonát
144401-12, 1206 	 királyi@törvényrendelet
144410-0436, 12, 1236 	 kiutasítási@intézkedés
144443-1611, 24 	 súlyosan@eladósodott@szegény@országok
144474-5641, 7621 	 NAFO@szabályozási@terület
144660-12, 2416 	 az@EKB@jegyzett@tőkéjében@való@részesedés
144685-3236, 48, 6821 	 vezérlőegység
144751-6811 	 béta-glükán
144754-12, 2831 	 kulturális@javakkal@történő@illegális@kereskedelem
144816-1236, 28 	 menedékotthon@bántalmazott@nők@számára
144818-0436 	 szabályozásból@eredő@terhek
144833-1236, 3236 	 az@érintett@hozzájárulása
144887-1631, 4821 	 konténerrakomány
144891-4821 	 járműszállító@hajó
144924-2841 	 szakképzett@ápoló
145030-1016, 28, 32, 3206 	 Erasmus@tanácsadó@bizottság
145170-1236, 32 	 a@mássághoz@való@jog
145184-3206, 3216 	 óvodapedagógus
145336-1006, 1016, 32, 44 	 Európai@Szakképzésfejlesztési@Központ
145399-1016, 32 	 Európai@Doktori@Intézet
145402-0436, 1016, 3206, 6416 	 NARIC
145700-3211, 3216 	 duális@szakképzés
145880-0436, 3226 	 egyetemes@postai@szolgáltatás
145916-3606, 6411, 6821 	 a@legnagyobb@nyomatékhoz@tartozó@fordulatszám
145917-3606, 5206, 6411, 6811 	 fűtött@kemilumineszcens@detektor
145949-1236, 28, 44 	 a@foglalkozás@megválasztásának@szabadsága
145974-3606, 48, 6821 	 tüzelőanyag-szabályozó
146066-1236, 3226 	 tájékoztatáshoz@való@jog
146148-12, 1236 	 törvény@előtti@egyenlőség
146165-04, 12, 28 	 közérdek
146311-04, 2831 	 tálib
146317-1016, 2826 	 Európai@önkéntes@szolgálat
146320-12, 1236 	 embertelen@bánásmód
146593-6811 	 adenozin
146654-56 	 szilárd@trágya
146692-0436, 68 	 kézműves@kamara
146699-1236, 28 	 lelkiismereti@szabadság
146700-1236, 28 	 gondolatszabadság
146848-1236, 28 	 a@rasszizmus@elleni@európai@év
146883-1236 	 utóbb@menekültté@váló
146933-1616 	 regionális@integráció
146955-3236, 3606 	 elektronikus@részegység
146967-3606, 5631 	 juhhimlő@vírusa
147081-2841, 3606 	 toxikológia
147241-0436 	 bürokrácia
147342-12, 28 	 bűnöző@magatartás
147586-2841 	 politoxikomán@droghasználat
147609-5641 	 kopásvédő@elem
147629-0436, 48, 6411 	 gyártás@megfelelősége
147657-0436, 2026 	 hivatali@visszásságra@vonatkozó@panasz
147681-66 	 ásványolaj
147876-1021, 5206, 5606, 5611 	 agrár-környezetvédelmi@támogatás
147922-2841, 6811 	 kokcidiózis@elleni@szer
147930-6036 	 hőkezelés
147935-5631, 6016 	 koprapogácsa
147937-5631, 6016 	 extrahált@kopra
147947-6036 	 sűrítés
147970-6031, 6036 	 lisztőrlés
147975-5631, 6021, 6031 	 szeszgyári@szárított@gabonamoslék@és@sűrítmények
147978-5631, 6016 	 pálmamagpogácsa
147984-5631, 6016 	 szezámmagpogácsa
148028-5631, 6021, 6031 	 szeszgyári@szárított@gabonamoslék
148044-5631, 6016 	 repcemaghéj
148162-6621 	 természetes@sugárforrás
150050-2841 	 várható@egészséges@élettartam
150081-6821 	 motortérfogat
150148-6836, 76 	 Gazdasági@,@Statisztikai@és@Piaci@Bizottság
